mode,bpm,accuracy
1,60,0.8928571428571429
1,70,0.7142857142857143
1,80,0.8214285714285714
1,90,0.7857142857142857
1,100,0.6428571428571429
1,110,0.7142857142857143
2,60,0.7857142857142857
2,70,0.75
2,80,0.7142857142857143
2,90,0.6071428571428571
2,100,0.5714285714285714
2,110,0.6428571428571429
3,60,0.5
3,70,0.17857142857142858
3,80,0.35714285714285715
3,90,0.35714285714285715
3,100,0.2857142857142857
3,110,0.17857142857142858
4,60,0.07142857142857142
4,70,0.17857142857142858
4,80,0.14285714285714285
4,90,0.07142857142857142
4,100,0.10714285714285714
4,110,0.10714285714285714
